ZoneNumber,xCoordinate,yCoordinate,ZoneName,External
1207,178807.294,6003699.48,Smoky Lake Without,FALSE
1208,165336.2659,5996546.884,Smoky Lake Town,FALSE
1209,220619.5957,6119014.238,Lac La Biche Area,FALSE
1301,53440.50278,5948719.61,Onoway Town,FALSE
1302,-8942.981635,5975644.216,Mayerthorpe Town,FALSE
1303,19041.67935,5964494.471,Lac Ste Anne Without,FALSE
1304,-43003.22117,5996345.545,Whitecourt Town,FALSE
1305,-24940.81421,6017885.731,Woodlands Without,FALSE
1306,38866.85276,5995320.664,Barrhead Town,FALSE
1307,31868.61548,5998245.627,Barrhead Without,FALSE
1308,75431.09863,5999065.92,Westlock Town,FALSE
1309,74364.73079,6011577.998,Westlock Without,FALSE
1310,129351.1468,6009216.264,Thorhild County,FALSE
1311,110784.0799,6062307.254,Athabasca Town,FALSE
1312,130038.4555,6074528.675,Athabasca Without,FALSE
1401,-113573.7187,5921992.635,Yellowhead Without,FALSE
1402,-95821.1814,5935800.361,Edson Town,FALSE
1403,-171525.9884,5917050.968,Hinton Town,FALSE
1404,-276587.5682,5950378.918,Willmore Wilderness,FALSE
1501,35124.21318,5491558.09,Crowsnest Pass,FALSE
1502,46266.19393,5535686.363,Ranchland District,FALSE
1503,10700.15644,5610371.696,Kananiskis Without,FALSE
1504,-16002.90731,5647168.308,Windtower,FALSE
1505,-12394.14746,5654367.43,Exshaw Area,FALSE
1506,-21307.89251,5652046.976,Three Sisters,FALSE
1507,-26942.67236,5659116.532,Canmore West,FALSE
1508,-24786.21163,5657431.524,Canmore Inner,FALSE
1509,-23618.96856,5658631.8,Canmore East,FALSE
1510,-5680.794905,5691906.268,Bighorn Without,FALSE
1511,-26749.30667,5661364.345,Harvie Heights,FALSE
1512,-39668.3998,5667339.388,Banff Townsite,FALSE
1513,-77511.30965,5708502.51,Banff Park,FALSE
1514,-210471.6871,5863545.004,Jasper Townsite,FALSE
1515,-199320.3373,5856984.228,Jasper Park,FALSE
1601,221395.5681,6290913.801,Snye Area,FALSE
1602,223049.0822,6289127.725,Franklin Area,FALSE
1603,221805.1253,6288043.352,Arsenault Area,FALSE
1604,224296.6935,6285119.342,Gregoire Area,FALSE
1605,230586.0279,6284713.163,Draper Road Area,FALSE
1606,231150.3887,6281610.996,Fort McMurray Airport,FALSE
1607,226239.0181,6281842.743,Keyano Area,FALSE
1608,224543.1115,6278897.2,Hangingstone Area,FALSE
1609,218223.6148,6282035.287,Upper Horse Area,FALSE
1610,220755.5378,6285666.409,Lower Horse Area,FALSE
1611,217678.0806,6290072.216,Thickwood Area,FALSE
1612,217027.4836,6293054.129,Timberlea Area,FALSE
1613,218747.5074,6295537.836,Taiga Nova Area,FALSE
1614,214525.9731,6296558.984,Parsons Creek Area,FALSE
1615,212992.6639,6293624.259,Tower Road Area,FALSE
1616,214080.3596,6289912.161,Abrahams Land,FALSE
1617,222822.7464,6293798.72,Miller Creek Area,FALSE
1618,228817.2883,6289275.19,Forest Heights Area,FALSE
1619,235798.2711,6283125.475,Saprae Creek Area,FALSE
1620,229586.2665,6224870.888,Surmount Area,FALSE
1621,274785.2837,6185464.313,Wood Buffalo Without South,FALSE
1622,220783.5802,6295477.24,Wood Buffalo Without East,FALSE
1623,136980.3612,6395144.407,Wood Buffalo Without West,FALSE
1624,246526.2557,6513992.318,Wood Buffalo Without North,FALSE
1625,114037.3813,6551119.551,Wood Buffalo Park,FALSE
1701,76335.84599,6247398.882,Opportunity County,FALSE
1702,43043.96441,6117863.182,Lesser Slave River Without,FALSE
1703,14381.89082,6122985.682,Slave Lake Town,FALSE
1704,-57941.12946,6116656.843,Big Lakes Without,FALSE
1705,-25681.02033,6060680.024,Swan Hills Town,FALSE
1706,-94275.61951,6141836.813,High Prairie Town,FALSE
1707,-67646.77504,6273933.754,Northern Sunrise County,FALSE
1708,-108652.331,6514236.084,Mackenzie Without,FALSE
1709,-124738.5189,6484977.668,High Level Town,FALSE
1710,-256257.5461,6490319.693,Rainbow Lake Town,FALSE
1711,-197298.6408,6360518.389,Northern Lights Without,FALSE
1712,-159697.3428,6309668.891,Manning Town,FALSE
1713,-243959.5205,6249103.987,Lake George Area,FALSE
1714,-249242.2537,6315464.511,Chinchaga Area,FALSE
1801,-199743.1459,6049395.242,Greenview Without,FALSE
1802,-116717.949,6027546.155,Fox Creek Town,FALSE
1803,-145279.2107,6101777.522,Valleyview Town,FALSE
1804,-270763.2095,5975393.754,Grande Cache Town,FALSE
1901,-241321.8553,6117993.482,Grande Prairie Inner,FALSE
1902,-241077.4157,6117784.953,Muskoseepi Park Area,FALSE
1903,-239850.3132,6120246.899,Crystal Lake Area,FALSE
1904,-241109.2814,6114423.352,Bear Creek Area,FALSE
1905,-245013.7529,6118619.925,Brochu Area,FALSE
1906,-240013.1513,6125008.471,Clairmont Dimsdale Area,FALSE
1907,-239681.6367,6137577.229,Sexsmith Town,FALSE
1908,-263649.446,6117578.956,Wembley Town,FALSE
1909,-281326.5724,6124579.736,Beaverlodge Town,FALSE
1910,-288946.8071,6138322.771,Hythe Village,FALSE
1911,-270689.1932,6127727.574,Grande Prarie Without,FALSE
1912,-274606.0569,6195432.046,Saddle Hills County,FALSE
1913,-232412.1148,6184037.331,Spirit River Without,FALSE
1914,-240485.5799,6185840.443,Spirit River Town,FALSE
1915,-212746.3817,6213282.911,Fairview Without,FALSE
1916,-210324.8842,6216664.512,Fairview Town,FALSE
1917,-170507.0058,6221295.788,Peace Without,FALSE
1918,-161881.8366,6227917.792,Grimshaw Town,FALSE
1919,-143537.7255,6231576.368,Peace River Town,FALSE
1920,-190943.1956,6180602.391,Birch Hills County,FALSE
1921,-138903.1809,6166525.228,Smoky River Without,FALSE
1922,-137966.3564,6176137.805,Falher Town,FALSE
1923,-119552.8852,6172731.356,McLennan Town,FALSE
2101,65300.39369,5653215.14,Calgary CBD,FALSE
2102,64280.54227,5653227.583,Calgary CBD West,FALSE
2103,65052.02673,5653864.481,Princes Island Area,FALSE
2104,66272.81732,5653194.67,East Village,FALSE
2105,66207.31294,5652291.882,Stampede Area,FALSE
2106,64432.08341,5652539.526,Beltline Area,FALSE
2107,64631.66793,5651113.685,Mount Royal Area,FALSE
2108,62711.67944,5651849.431,Bankview Area,FALSE
2109,61621.44643,5654598.226,Point McKay Area,FALSE
2110,66290.34543,5654310.369,Crecent Heights Area,FALSE
2111,68285.03612,5651363.429,Inglewood Area,FALSE
2112,67557.82692,5649846.344,Highfield Area,FALSE
2113,66457.74691,5648259.802,Manchester Area,FALSE
2114,63553.32252,5649664.125,Altadore Area,FALSE
2115,62964.82823,5647209.076,Chinook Area,FALSE
2116,61309.14407,5648333.283,Lakeview Area,FALSE
2117,60633.31788,5652068.214,Westbrook Area,FALSE
2118,58157.59801,5654014.084,Edworthy Park Area,FALSE
2119,58198.47669,5657571.27,Varsity Area,FALSE
2120,60521.87429,5656496.975,University of Calgary Campus,FALSE
2121,61477.40037,5657589.224,Triwood Area,FALSE
2122,65593.4675,5656931.647,Highland Tuxedo Area,FALSE
2123,69613.60019,5656033.125,Mayland Vista Area,FALSE
2124,71393.56924,5651326.87,Dover Area,FALSE
2125,70696.07288,5647701.198,Foothills Industrial West,FALSE
2126,71749.38494,5643530.046,Eastlake Industrial,FALSE
2127,70456.50722,5641562.031,Douglasdale Area,FALSE
2128,69068.07162,5644480.873,Quarry Park Area,FALSE
2129,65887.04148,5644787.45,Southland Area,FALSE
2130,61113.08151,5645361.839,Palliser Area,FALSE
2131,53439.2904,5650712.614,Pinebrook Area,FALSE
2132,58452.7736,5650340.773,Signal Hill Area,FALSE
2133,55612.79075,5651870.36,Elbow Springs Area,FALSE
2134,55670.52649,5655348.749,Aspen Woods Area,FALSE
2135,52487.40954,5655960.96,Burnco Area,FALSE
2136,55485.35538,5659344.559,Siver Springs Area,FALSE
2137,54051.25878,5665239.353,Rocky Ridge Area,FALSE
2138,56843.69391,5662546.798,Rocky Ridge Area,FALSE
2139,58900.57656,5660061.956,Dalhousie Area,FALSE
2140,59703.55383,5662695.989,Edgemount Area,FALSE
2141,57913.38835,5667275.843,Spyhill Area,FALSE
2142,62316.52736,5663750.32,Hidden Valley Area,FALSE
2143,63309.50358,5660955.614,Huntington Hills Area,FALSE
2144,65130.28324,5659310.94,Thorncliffe Area,FALSE
2145,69634.64726,5662427.998,Calgary Airport Area,FALSE
2146,65917.83383,5665289.248,Country Hills Area,FALSE
2147,62452.7227,5669217.157,Evanston Area,FALSE
2148,73878.47644,5665591.389,Redstone Area,FALSE
2149,73704.50148,5661070.57,Saddletowne Area,FALSE
2150,72928.46075,5657140.13,Rundle Area,FALSE
2151,75280.76683,5657106.6,Monterey Park Area,FALSE
2152,77644.48398,5653601.826,Hart Estates Area,FALSE
2153,73361.60705,5653903.015,Marlborough Area,FALSE
2154,74214.25799,5651051.672,Elliston Lake Area,FALSE
2155,77708.73011,5651143.61,Garden Road Area,FALSE
2156,74469.43435,5647792.463,Foothills Industrial East,FALSE
2157,74342.03687,5643021.593,Dufferin Area,FALSE
2158,77778.38359,5638942.83,Marquis Area,FALSE
2159,73482.2411,5638903.244,New Brighton Area,FALSE
2160,77381.49562,5635005.095,Mahogany Area,FALSE
2161,72921.09431,5634176.424,Seton Area,FALSE
2162,69801.98602,5632458.787,Legacy Area,FALSE
2163,71262.00742,5638518.735,McKenzie Lake Area,FALSE
2164,68780.30613,5640337.98,Bow Bottom Area,FALSE
2165,65229.27328,5641274.322,Canyon Meadows Area,FALSE
2166,68440.97639,5638288.098,Fish Creek Park Portion,FALSE
2167,65546.87518,5637860.675,Shawnessy Area,FALSE
2168,61904.09688,5641641.797,Canyon Meadows Area,FALSE
2169,58456.84884,5637503.944,Providence Area,FALSE
2170,62406.02716,5638112.427,Bridlewood Area,FALSE
2171,63625.97521,5632149.478,Tournament Area,FALSE
2172,65887.29903,5633476.068,Silverado Area,FALSE
2201,99777.45188,5931400,Edmonton CBD,FALSE
2202,98931.30993,5931233.289,Corona Area,FALSE
2203,99513.00972,5930307.176,Rossdale Area,FALSE
2204,97549.05115,5931795.148,Oliver Area,FALSE
2205,99938.75838,5932515.73,McCauley Area,FALSE
2206,101103.9472,5931856.691,Riverdale Area,FALSE
2207,99343.70042,5929152.842,Strathcona Area,FALSE
2208,96913.03508,5929533.364,University of Alberta Area,FALSE
2209,93958.98271,5928501.508,Jasper Place Area,FALSE
2210,94075.83025,5931411.113,Glenora Area,FALSE
2211,93405.27209,5934207.676,High Park Area,FALSE
2212,96100.66067,5934388.874,Dovercourt Area,FALSE
2213,98504.26988,5934561.353,Kingsway Area,FALSE
2214,101028.9251,5934833.012,Parkdale Area,FALSE
2215,103176.0546,5934290.537,Highlands Area,FALSE
2216,102145.1979,5931557.134,Forest Heights Area,FALSE
2217,101930.5703,5928951.852,Bonnie Doon Area,FALSE
2218,104435.3501,5930739.139,Capilano Area,FALSE
2219,106575.5985,5926788.69,Eastgate Area,FALSE
2220,101513.5339,5926489.847,Hazeldean Area,FALSE
2221,97899.14663,5926404.586,Parkallen Area,FALSE
2222,93944.40584,5924249.024,Riverbend Area,FALSE
2223,94754.24442,5920723.28,Terwillegar Towne,FALSE
2224,97911.43846,5922236.41,Duggan Area,FALSE
2225,100963.763,5922930.256,Parsons Area,FALSE
2226,100914.1866,5920615.924,South Edmonton Common,FALSE
2227,103115.9352,5922802.276,Tipaskan Area,FALSE
2228,103872.9072,5922165.544,Mill Woods Town Centre,FALSE
2229,105500.9806,5922169.498,Minchau Area,FALSE
2230,108034.1121,5922676.099,Tamarack Area,FALSE
2231,106678.7889,5917190.048,Rainer Gardens Area,FALSE
2232,101565.7336,5917073.095,Ellerslie Area,FALSE
2233,96836.42629,5916700.237,Heritage Valley Area,FALSE
2234,91699.41114,5917769.49,Windermere Area,FALSE
2235,88519.16887,5920215.745,Woodbend Area,FALSE
2236,91128.22246,5925548.46,Callingwood Area,FALSE
2237,87189.70311,5928192.065,Lewis Estates Area,FALSE
2238,90539.52428,5929364.318,Summerlea Area,FALSE
2239,90570.39407,5932654.32,Sunwapta Area,FALSE
2240,86852.07787,5932539.881,Westview Area,FALSE
2241,87064.16207,5935736.499,Trumpeter Area,FALSE
2242,90771.15686,5935538.277,Kinokamau Plains Area,FALSE
2243,93141.64558,5937064.713,Mistatim Area,FALSE
2244,97236.28909,5936782.817,Calder Area,FALSE
2245,94841.60294,5938756.82,Cumberland Rampart Area,FALSE
2246,98028.29924,5938485.815,Griesbach Baranow Area,FALSE
2247,97280.03868,5941074.753,Rapperswill Area,FALSE
2248,102546.9364,5941018.921,Eaux Claires Area,FALSE
2249,102231.9493,5937880.174,Belvedere Killarney Area,FALSE
2250,106109.1462,5936474.997,Hermitage Area,FALSE
2251,106043.1523,5934296.104,Beverly Area,FALSE
2252,110478.4079,5936613.74,Clover Bar Area,FALSE
2253,106660.2063,5939134.642,Clareview Area,FALSE
2254,109849.2531,5941940.584,Evergreen Area,FALSE
2255,105858.8159,5944468.853,Valour Avenue Area,FALSE
2256,111433.0954,5945894.081,Horse Hill Area,FALSE
2257,109717.3371,5948650.555,Northstar Area,FALSE
2258,105626.8379,5948295.354,Duagh Area,FALSE
2301,121341.4517,5481330.926,Waterton Reservations,FALSE
2302,91520.21769,5642165.03,Bow Reservations,FALSE
2303,34466.09058,5646307.28,Redwood Meadows,FALSE
2304,58486.45622,5645136.991,Tsuu Tina Reservation East,FALSE
2305,43042.03735,5643938.309,Tsuu Tina Reservation West,FALSE
2306,100376.7465,5852469.807,Wetaskiwin Reservations,FALSE
2307,-49257.08711,5842027.279,Brazeau Reservations,FALSE
2308,46555.53577,5947302.387,Wabamun Reservations,FALSE
2309,84909.56713,5925211.676,Enoch Reservation East,FALSE
2310,81554.89199,5923803.949,Enoch Reservation West,FALSE
2311,-69145.17381,6009310.777,Whitecourt Reservations,FALSE
2312,261069.738,6006796.739,Cold Lake Reservations,FALSE
2313,220805.4128,6463842.199,Wood Buffalo Reservations,FALSE
2314,-48799.9749,6193346.259,South Peace Reservations,FALSE
2315,-84628.8207,6484589.075,North Peace Reservations,FALSE
2321,-147266.1046,6420589.335,Paddle Prairie Metis,FALSE
2322,-67079.68874,6177486.875,Slave Lake Metis,FALSE
2323,177654.5398,6036406.78,Smoky Lake Metis,FALSE
2324,318046.9871,5996690.094,Bonnyville Metis,FALSE
3333,75858.39094,5924757.06,Calgary Ring Road,FALSE
4444,85560.5418,5803594.611,Edmonton Ring Road,FALSE
2,-585368.405,5486631.757,British Columbia,TRUE
3,-1105963.9,6925101.766,Yukon,TRUE
4,53877.535,6916436.284,NWT and Nunavut,TRUE
5,541810.828,5805921.439,Saskatchewan,TRUE
6,1251047.199,5704601.958,Manitoba,TRUE
7,2861493.696,5515294.505,Eastern Canada,TRUE
8,1365698.191,4398113.905,International,TRUE